# Generated 2026-06-21 from Claude workflow wf_9cfa6be0-e24; all rows are selected from the latest verified result when available.
# PT-BR/RU policy: fallback to English for new rows; EN/ZH/JA/ES are the explicit translation columns.
verified	surface	key	ko	placeholders	en	zh	ja	es
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.ring_core.tier.3	하이퍼		Hyper	超载	ハイパー	Hyper
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.ring_core.tier.4	오버드라이브		Overdrive	超频	オーバードライブ	Overdrive
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.ring_core.tier.5	얼티밋		Ultimate	终极	アルティメット	Ultimate
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.ring_core.tier.6	제니스		Zenith	巅峰	ゼニス	Zenith
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.tavern.quest.supply_route.name	보급로 점검		Supply Route Inspection	补给线检查	補給路点検	Inspección de la ruta de suministros
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.tavern.quest.supply_route.description	다음 전투를 마친 뒤 선술집에 보고합니다.		Report back to the tavern after finishing your next battle.	完成下一场战斗后，回酒馆汇报。	次の戦闘を終えたら酒場に報告します。	Informa en la taberna tras terminar tu próxima batalla.
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.tavern.quest.neon_trace.name	네온 흔적 조사		Neon Trace Investigation	霓虹痕迹调查	ネオンの痕跡調査	Investigación del rastro de neón
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.tavern.quest.neon_trace.description	거리의 이상 신호를 기록하고 다음 광장에서 보고합니다.		Record the anomalous signals on the street and report at the next plaza.	记录街道上的异常信号，并在下一个广场汇报。	街の異常な信号を記録し、次の広場で報告します。	Registra las señales anómalas de la calle e informa en la próxima plaza.
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.tavern.quest.scroll_delivery.name	의뢰서 배달		Request Letter Delivery	委托书递送	依頼書の配達	Entrega de la carta de encargo
True	Plaza static UI: building menu specs + building display names + action labels + ring-core tier names	plaza.tavern.quest.scroll_delivery.description	다음 스테이지를 지나 돌아온 뒤 배달 완료를 보고합니다.		Clear the next Stage, then return and report the delivery as complete.	通过下一个关卡后返回，汇报递送完成。	次のステージを越えて戻ったら配達完了を報告します。	Pasa la siguiente Etapa, luego regresa e informa que la entrega está completa.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.npc.shop	상점주인 모라		Shopkeeper Mora	店主 莫拉	店主 モラ	Tendera Mora
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.npc.bank	은행원 도윤		Bank Teller Doyun	银行职员 道允	銀行員 ドユン	Cajero Doyun
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.npc.gacha	가챠 오퍼레이터 루미		Gacha Operator Lumi	扭蛋操作员 露米	ガチャオペレーター ルミ	Operadora de Gacha Lumi
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.npc.lingpet_store	링펫 사육사 링링		Lingpet Keeper Ringring	灵宠饲养员 玲玲	リンペット飼育員 リンリン	Cuidadora de Lingpets Ringring
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.npc.blacksmith	대장장이 강철		Blacksmith Gangcheol	铁匠 钢铁	鍛冶屋 ガンチョル	Herrero Gangcheol
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.npc.tavern	선술집 주인 하랑		Tavern Owner Harang	酒馆老板 哈朗	酒場の主人 ハラン	Tabernero Harang
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.npc.academy	아카데미 교관 서율		Academy Instructor Seoyul	学院教官 瑞栗	アカデミー教官 ソユル	Instructor de la Academia Seoyul
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.greeting.shop	어서오세요!|필요한 장비를 골라볼까요?		Welcome!|Shall we pick out some gear?	欢迎光临！|来挑选需要的装备吧？	いらっしゃいませ！|必要な装備を選びましょうか？	¡Bienvenido!|¿Elegimos algo de equipo?
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.greeting.bank	금고는 안전합니다.|맡기거나 찾아가세요.		The vault is secure.|Deposit or withdraw as you like.	金库十分安全。|可以存入或取出。	金庫は安全です。|預けるか引き出してください。	La bóveda es segura.|Deposita o retira a tu gusto.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.greeting.gacha	캡슐이 돌 준비를|마쳤어요.		The capsules are ready|to spin.	扭蛋已经准备好|开始转动了。	カプセルが回る準備は|できています。	Las cápsulas están listas|para girar.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.greeting.lingpet_store	공명 알이 오늘도|반짝이고 있어요.		The resonance eggs are|shining again today.	共鸣蛋今天也|闪闪发光呢。	共鳴の卵が今日も|輝いていますよ。	Los huevos de resonancia|brillan otra vez hoy.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.greeting.blacksmith	좋은 장비는|망치질을 버팁니다.		Good gear withstands|the hammer's blows.	好装备经得起|锤子的敲打。	良い装備は|ハンマーに耐えます。	El buen equipo aguanta|los golpes del martillo.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.greeting.tavern	의뢰서를|확인해 보시겠습니까?		Care to take a look|at the quest board?	要看看|委托书吗？	依頼書を|確認してみますか？	¿Quieres echar un vistazo|a los encargos?
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.greeting.academy	새 기술을 익힐|준비가 됐나요?		Ready to learn|a new technique?	准备好学习|新技能了吗？	新しい技を学ぶ|準備はできましたか？	¿Listo para aprender|una nueva técnica?
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.quest.supply_route.name	보급로 점검		Supply Route Inspection	补给线检查	補給路点検	Inspección de la ruta de suministro
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.quest.supply_route.desc	다음 전투를 마친 뒤 선술집에 보고합니다.		Report to the tavern after finishing the next battle.	结束下一场战斗后向酒馆报告。	次の戦闘を終えたら酒場に報告します。	Informa en la taberna tras terminar la próxima batalla.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.quest.neon_trace.name	네온 흔적 조사		Neon Trace Investigation	霓虹痕迹调查	ネオンの痕跡調査	Investigación del rastro neón
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.quest.neon_trace.desc	거리의 이상 신호를 기록하고 다음 광장에서 보고합니다.		Record the strange signals on the streets and report at the next plaza.	记录街道上的异常信号，并在下一个广场报告。	街の異常な信号を記録し、次の広場で報告します。	Registra las señales extrañas de las calles e informa en la próxima plaza.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.quest.scroll_delivery.name	의뢰서 배달		Quest Letter Delivery	委托书递送	依頼書の配達	Entrega del encargo
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.quest.scroll_delivery.desc	다음 스테이지를 지나 돌아온 뒤 배달 완료를 보고합니다.		Pass through the next stage, return, then report the delivery as complete.	通过下一关返回后，报告递送已完成。	次のステージを越えて戻ったら、配達完了を報告します。	Pasa la próxima fase, regresa e informa que la entrega está completa.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.quest.action.accept	의뢰 받기		Accept Quest	接受委托	依頼を受ける	Aceptar encargo
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.quest.action.report	의뢰 보고		Report Quest	汇报委托	依頼を報告	Reportar encargo
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.gold_amount	%dG	%d	%dG	%dG	%dG	%dG
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.exit	나가기		Exit	离开	退出	Salir
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.npc_default_message	필요한 물건이 있으면 테이블의 물건을 골라봐.		If you need something, pick an item off the table.	需要什么的话，从桌上挑选吧。	必要なものがあれば、テーブルの品を選んでね。	Si necesitas algo, elige un objeto de la mesa.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.shopkeeper_default_message	필요한 거 있어?\n좋은 걸로 골라왔지.		Need anything?\nI brought in the good stuff.	需要什么吗？\n我可挑了些好货。	何かいる？\n良い物を選んできたよ。	¿Necesitas algo?\nTraje lo mejorcito.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.trade.close_hint	ESC		ESC	ESC	ESC	ESC
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.trade.title	아이템 거래		Item Trade	物品交易	アイテム取引	Intercambio de objetos
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.trade.player_panel_title	내 인벤토리 (판매)		My Inventory (Sell)	我的背包（出售）	自分のインベントリ（売却）	Mi inventario (Vender)
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.trade.shop_panel_title	상점 물품 (구매)		Shop Stock (Buy)	商店物品（购买）	店の品物（購入）	Mercancía de la tienda (Comprar)
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.trade.panel_title_count	%s  %d	%s, %d	%s  %d	%s  %d	%s  %d	%s  %d
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.strewn_trade_label	%s  ·  거래	%s	%s  ·  Trade	%s  ·  交易	%s  ·  取引	%s  ·  Comerciar
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.strewn_trade_label_fallback	거래		Trade	交易	取引	Comerciar
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.price_label.sell	판매가		Sell Price	售价	売却価格	Precio de venta
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.price_label.buy	구매가		Buy Price	买价	購入価格	Precio de compra
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.price_text_value	%s %sG	%s, %s	%s %sG	%s %sG	%s %sG	%s %sG
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.price_text_unavailable	%s -	%s	%s -	%s -	%s -	%s -
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.todays_deal	오늘의 특가		Today's Deal	今日特价	本日の特価	Oferta del día
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.sell_confirm.equipped_warning	장착 중인 아이템입니다		This item is currently equipped	该物品正在装备中	装備中のアイテムです	Este objeto está equipado
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.sell_confirm.prompt	%s을(를) 판매할까요?	%s	Sell %s?	要出售 %s 吗？	%s を売却しますか？	¿Vender %s?
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.sell_confirm.sell_button	판매		Sell	出售	売却	Vender
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.cancel	취소		Cancel	取消	キャンセル	Cancelar
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.object_panel.run_hint	선택한 오브젝트의 기능을 실행합니다.		Run the function of the selected object.	执行所选对象的功能。	選択したオブジェクトの機能を実行します。	Ejecuta la función del objeto seleccionado.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.object_panel.ap_text	AP %d	%d	AP %d	AP %d	AP %d	PA %d
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.object_panel.confirm_button	실행		Run	执行	実行	Ejecutar
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.trade.item_name_fallback	아이템		Item	物品	アイテム	Objeto
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.trade.desc_fallback_named	%s의 효과를 전투 중에 발동합니다.	%s	Activates %s's effect during battle.	在战斗中发动 %s 的效果。	戦闘中に %s の効果を発動します。	Activa el efecto de %s durante la batalla.
True	Plaza static UI: NPC names + greetings + quests + interior_view labels	plaza.interior.trade.desc_fallback_generic	상세 효과는 장착 후 확인할 수 있습니다.		Detailed effects can be checked after equipping.	装备后可查看详细效果。	詳しい効果は装備後に確認できます。	Los efectos detallados se pueden ver tras equiparlo.
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.tetro_drop.name	낙하 테트로		Falling Tetro	坠落方块	落下テトロ	Tetro descendente
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.tetro_drop.trigger	자동(5~10초)		Auto (5-10s)	自动(5~10秒)	自動(5~10秒)	Auto (5-10s)
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.tetro_drop.cooldown	게이지 30		Gauge 30	能量30	ゲージ30	Energía 30
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.tetro_drop.description	테트로미노 블록이 조립되어 낙하·정착합니다. 공/대시/연막으로 파괴.		Tetromino blocks assemble, then fall and settle. Destroy them with the ball, dash, or smoke.	俄罗斯方块组装后坠落并固定。可用球/冲刺/烟雾摧毁。	テトロミノブロックが組み立てられて落下・着地します。ボール／ダッシュ／煙幕で破壊。	Los bloques tetromino se ensamblan, caen y se asientan. Destrúyelos con la bola, el dash o el humo.
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.guard.name	가드 블록		Guard Block	守护方块	ガードブロック	Bloque de guardia
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.guard.trigger	자동(7~15초)		Auto (7-15s)	自动(7~15秒)	自動(7~15秒)	Auto (7-15s)
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.guard.cooldown	게이지 50/100		Gauge 50/100	能量50/100	ゲージ50/100	Energía 50/100
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.guard.description	보스 좌우에 4셀 가로 바를 전개해 상단을 방어합니다(최대 4개).		Deploys 4-cell horizontal bars on the boss's left and right to defend the top (up to 4).	在首领左右展开4格横条防御上方(最多4个)。	ボスの左右に4セルの横バーを展開して上部を防御します(最大4個)。	Despliega barras horizontales de 4 celdas a izquierda y derecha del jefe para defender la parte superior (hasta 4).
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.wall.name	테트로 벽		Tetro Wall	方块墙	テトロウォール	Muro de tetro
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.wall.trigger	자동(30초)		Auto (30s)	自动(30秒)	自動(30秒)	Auto (30s)
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.wall.cooldown	게이지 50		Gauge 50	能量50	ゲージ50	Energía 50
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.wall.description	좌우 가장자리에 테트로 벽을 쌓아 압박합니다(셀 단위 파괴).		Stacks tetro walls along the left and right edges to apply pressure (destroyed cell by cell).	在左右边缘堆砌方块墙施加压力(逐格摧毁)。	左右の端にテトロの壁を積み上げて圧迫します(セル単位で破壊)。	Apila muros de tetro en los bordes izquierdo y derecho para presionar (se destruyen celda por celda).
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.super.name	초인테트리서		Super Tetrisser	超人特崔瑟	超人テトリサー	Super Tetrisser
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.super.trigger	게이지 500		Gauge 500	能量500	ゲージ500	Energía 500
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.super.cooldown	발동 중 드레인		Drains while active	发动中持续消耗	発動中ドレイン	Drena mientras está activo
True	Stage 6 Tetriser boss-skill HUD	stage6.skill.super.description	초인 변신: 본체가 커지고 테트로가 거대·공 면역이 되며 큐브로 광선을 쏩니다.		Super transformation: the body grows larger, tetros become huge and immune to the ball, and cubes fire beams.	超人变身:本体变大,方块变得巨大且免疫球,并用方块发射光线。	超人変身:本体が巨大化し、テトロが巨大化・ボール無効になり、キューブでビームを撃ちます。	Transformación super: el cuerpo crece, los tetros se vuelven enormes e inmunes a la bola, y los cubos disparan rayos.
